"","Race","Region","EDUC","Gender"
"2082","White","Midwest","Bachelors","Female"
"2083","Black","Midwest","Primary","Female"
"2084","White","Midwest","Bachelors","Female"
"2085","Hispanic","South","Bachelors","Male"
"2086","White","Northeast","Masters","Female"
"2087","White","West","Secondary","Female"
"2088","White","Northeast","Secondary","Female"
"2089","White","South","Primary","Male"
"2090","White","Midwest","Secondary","Female"
"2091","White","Northeast","Secondary","Male"
"2092","White","West","Bachelors","Female"
"2093","White","South","Secondary","Female"
"2094","White","Midwest","Bachelors","Female"
"2095","Other","West","Secondary","Female"
"2096","Black","South","Secondary","Female"
"2097","White","South","Secondary","Male"
"2098","White","West","Bachelors","Male"
"2099","White","West","Secondary","Female"
"2100","Black","West","Bachelors","Male"
"2101","Black","South","Secondary","Female"
"2102","White","Midwest","Secondary","Male"
"2103","White","Midwest","Secondary","Female"
"2104","White","Midwest","Secondary","Female"
"2105","White","Midwest","Secondary","Female"
"2106","White","Midwest","Bachelors","Female"
"2107","White","Northeast","Secondary","Male"
"2108","White","South","Bachelors","Male"
"2109","White","South","Bachelors","Male"
"2110","White","South","Primary","Male"
"2111","White","Midwest","Bachelors","Female"
"2112","Black","South","Primary","Female"
"2113","White","West","Bachelors","Male"
"2114","White","West","Secondary","Female"
"2115","White","Midwest","Secondary","Female"
"2116","Black","Midwest","Secondary","Female"
"2117","White","West","Secondary","Female"
"2118","White","Midwest","Bachelors","Male"
"2119","White","South","Bachelors","Female"
"2120","Black","Midwest","Secondary","Female"
"2121","Black","Northeast","Secondary","Female"
"2122","Hispanic","South","Secondary","Male"
"2123","White","South","Secondary","Female"
"2124","White","West","Professional","Male"
"2125","White","Midwest","Bachelors","Male"
"2126","Hispanic","Midwest","Primary","Male"
"2127","Asian/Pacific Islander","West","Bachelors","Female"
"2128","Black","Midwest","Secondary","Male"
"2129","White","West","Bachelors","Male"
"2130","White","Midwest","Secondary","Male"
"2131","White","Midwest","Professional","Female"
"2132","White","West","Secondary","Male"
"2133","Hispanic","Midwest","Secondary","Male"
"2134","White","West","Secondary","Female"
"2135","White","Northeast","Secondary","Male"
"2136","White","West","Bachelors","Female"
"2137","White","South","Secondary","Female"
"2138","White","Midwest","Bachelors","Female"
"2139","White","Northeast","Masters","Male"
"2140","White","South","Secondary","Female"
"2141","White","South","Bachelors","Female"
"2142","Hispanic","South","Secondary","Female"
"2143","White","West","Secondary","Female"
"2144","White","Midwest","Bachelors","Male"
"2145","White","South","Bachelors","Female"
"2146","White","West","Secondary","Female"
"2147","Hispanic","South","Professional","Female"
"2148","White","Midwest","Bachelors","Female"
"2149","Other","Midwest","Secondary","Female"
"2150","White","Midwest","Primary","Female"
"2151","White","Northeast","Masters","Male"
"2152","White","Northeast","Secondary","Female"
"2153","White","Northeast","Primary","Female"
"2154","White","Midwest","Secondary","Female"
"2155","White","West","Secondary","Female"
"2156","White","Midwest","Masters","Female"
"2157","White","Midwest","Professional","Male"
"2158","Black","South","Secondary","Female"
"2159","White","West","Secondary","Male"
"2160","White","Northeast","Bachelors","Male"
"2161","White","South","Professional","Female"
"2162","Other","West","Bachelors","Male"
"2163","White","Northeast","Masters","Female"
"2164",NA,"Northeast","Secondary","Female"
"2165","Hispanic","South","Secondary","Female"
"2166","Asian/Pacific Islander","West","Bachelors","Female"
"2167","Asian/Pacific Islander","West","Bachelors","Male"
"2168","White","West","Secondary","Female"
"2169","White","Midwest","Secondary","Female"
"2170","White","West","Primary","Male"
"2171","Hispanic","West","Masters","Male"
"2172","White","West","Professional","Female"
"2173","White","Midwest","Secondary","Male"
"2174","White","Midwest","Bachelors","Female"
"2175","White","Midwest","Bachelors","Male"
"2176","Black","Midwest","Secondary","Female"
"2177","White","South","Professional","Female"
"2178","Black","South","Primary","Male"
"2179","White","Midwest","Secondary","Female"
"2180","White","West","Masters","Male"
"2181","White","West","Primary","Male"
"2182","White","Northeast","Masters","Female"
"2183","White","Midwest","Secondary","Female"
"2184","White","West","Primary","Male"
"2185","White","Midwest","Secondary","Male"
"2186","White","Midwest","Secondary","Female"
"2187","Black","South","Secondary","Male"
"2188","White","Midwest","Bachelors","Female"
"2189","White","South","Primary","Female"
"2190","White","Northeast","Secondary","Male"
"2191","White","West","Primary","Female"
"2192","White","West","Secondary","Female"
"2193","Asian/Pacific Islander","South","Primary","Male"
"2194","White","South","Secondary","Male"
"2195","Hispanic","Midwest","Primary","Male"
"2196","White","West","Secondary","Female"
"2197","Hispanic","West","Secondary","Male"
"2198","Hispanic","Midwest","Secondary","Male"
"2199","White","Midwest","Professional","Female"
"2200","White","South","Secondary","Male"
"2201","Black","South","Professional","Female"
"2202","Black","South","Primary","Female"
"2203","White","Northeast","Secondary","Female"
"2204","White","South","Primary","Male"
"2205","White","South","Secondary","Male"
"2206","Other","Midwest","Secondary","Female"
"2207","Other","South","Bachelors","Female"
"2208","White","Midwest","Bachelors","Female"
"2209","White","Midwest","Primary","Male"
"2210","White","South","Bachelors","Female"
"2211","Hispanic","Northeast","Masters","Female"
"2212","White","South","Bachelors","Male"
"2213","Black","South","Secondary","Male"
"2214","Other","Midwest","Bachelors","Female"
"2215","Black","South","Professional","Male"
"2216","Black","South","Secondary","Male"
"2217","White","Northeast","Professional","Male"
"2218","White","Midwest","Masters","Male"
"2219","White","South","Secondary","Male"
"2220","White","West","Secondary","Female"
"2221","Black","South","Secondary","Male"
"2222","White","South","Secondary","Female"
"2223","White","South","Secondary","Female"
"2224","White","Midwest","Secondary","Female"
"2225","White","South","Masters","Female"
"2226","White","Midwest","Professional","Male"
"2227","White","Midwest","Bachelors","Male"
"2228","White","Midwest","Masters","Female"
"2229","Hispanic","Northeast","Bachelors","Female"
"2230","Asian/Pacific Islander","West","Bachelors","Female"
"2231","White","Midwest","Bachelors","Male"
"2232","White","Northeast","Masters","Female"
"2233","White","South","Primary","Male"
"2234","Black","South","Secondary","Female"
"2235","White","West","Bachelors","Female"
"2236","Hispanic","West","Secondary","Female"
"2237","Hispanic","West","Secondary","Female"
"2238","Hispanic","South","Primary","Female"
"2239","White","South","Secondary","Male"
"2240","White","Northeast","Secondary","Female"
"2241","Hispanic","West","Primary","Male"
"2242","White","West","Bachelors","Male"
"2243","White","Northeast","Primary","Male"
"2244","Hispanic","West","Professional","Male"
"2245","White","South","Masters","Female"
"2246","Hispanic","South","Bachelors","Male"
"2247","White","Northeast","Secondary","Female"
"2248","White","Midwest","Primary","Male"
"2249","White","Midwest","Bachelors","Female"
"2250","Hispanic","Northeast","Secondary","Female"
"2251","Hispanic","South","Primary","Female"
"2252","White","South","Bachelors","Male"
"2253","White","West","Masters","Female"
"2254","White","West","Professional","Female"
"2255","White","South","Secondary","Male"
"2256","White","West","Secondary","Male"
"2257","White","South","Professional","Male"
"2258","White","West","Primary","Male"
"2259","Black","Midwest","Primary","Female"
"2260","Asian/Pacific Islander","South","Secondary","Male"
"2261","White","South","Bachelors","Male"
"2262","Other","Midwest","Secondary","Female"
"2263","Hispanic","Northeast","Secondary","Female"
"2264","Hispanic","West","Professional","Female"
"2265","White","South","Secondary","Female"
"2266","Hispanic","South","Secondary","Male"
"2267","White","Northeast","Secondary","Male"
"2268","White","South","Secondary","Male"
"2269","White","South","Secondary","Female"
"2270","Black","South","Primary","Female"
"2271","White","Northeast","Secondary","Female"
"2272","White","South","Bachelors","Female"
"2273","Black","South","Secondary","Male"
"2274","White","Midwest","Bachelors","Male"
"2275","White","South","Secondary","Male"
"2276","Black","South","Secondary","Male"
"2277","White","Midwest","Professional","Male"
"2278","Asian/Pacific Islander","Northeast","Masters","Male"
"2279","White","South","Primary","Male"
"2280","Other","South","Secondary","Female"
"2281","White","Midwest","Bachelors","Female"
"2282","Black","South","Secondary","Male"
"2283","White","Midwest","Secondary","Female"
"2284","Black","Midwest","Secondary","Male"
"2285","Asian/Pacific Islander","South","Bachelors","Male"
"2286","White","South","Bachelors","Male"
"2287","White","Northeast","Secondary","Female"
"2288","White","Midwest","Secondary","Male"
"2289","White","Midwest","Professional","Male"
"2290","White","Midwest","Professional","Male"
"2291","White","Midwest","Secondary","Male"
"2292","White","West","Bachelors","Male"
"2293","Black","South","Masters","Male"
"2294","White","South","Bachelors","Female"
"2295","Other","Midwest","Secondary","Female"
"2296","Asian/Pacific Islander","West","Secondary","Male"
